evidence_id,source_key,source_record_id,source_status,source_url,property_key,geo_id,address,property_name,organization,equipment_type,evidence_confidence,signal_type,tower_lifecycle_event,tower_lifecycle_event_context,permit_project_key,description_fingerprint,event_date,event_age_days,recent_activity_365d,priority,description
tdsb:3127:chiller:0,tdsb_facility_condition_renewal,3127,2025_FCI,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/3127,tdsb-schno:3127,,"25 Forest Manor Rd, North York, ON, M2J 1M4",Forest Manor Public School,Toronto District School Board,chiller,SUPPORTING,TDSB_RELATED_MECHANICAL_RENEWAL,,,,,,,,HIGH,| Chilled Water Systems - Centrifugal Chiller Renewal | High
tdsb:3127:cooling_tower:1,tdsb_facility_condition_renewal,3127,2025_FCI,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/3127,tdsb-schno:3127,,"25 Forest Manor Rd, North York, ON, M2J 1M4",Forest Manor Public School,Toronto District School Board,cooling_tower,CONFIRMED,TDSB_COOLING_TOWER_RENEWAL,,,,,,,,HIGH,| Chilled Water Systems - Cooling Tower Renewal | High
tdsb:3180:cooling_tower:0,tdsb_facility_condition_renewal,3180,2025_FCI,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/3180,tdsb-schno:3180,,"4505 Jane St, North York, ON, M3N 2K7",Brookview Middle School,Toronto District School Board,cooling_tower,CONFIRMED,TDSB_COOLING_TOWER_RENEWAL,,,,,,,,HIGH,| D303012 Chilled Water Systems - Cooling Towers Renewal | High
tdsb:3430:chemical_feed:0,tdsb_facility_condition_renewal,3430,2025_FCI,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/3430,tdsb-schno:3430,,"100 Princess Ave, North York, ON, M2N 3R7",Earl Haig Secondary School,Toronto District School Board,chemical_feed,SUPPORTING,TDSB_RELATED_MECHANICAL_RENEWAL,,,,,,,,HIGH,| Auxiliary Equipment - Chemical Feed Systems (3) Renewal | High
tdsb:3430:cooling_tower:1,tdsb_facility_condition_renewal,3430,2025_FCI,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/3430,tdsb-schno:3430,,"100 Princess Ave, North York, ON, M2N 3R7",Earl Haig Secondary School,Toronto District School Board,cooling_tower,CONFIRMED,TDSB_COOLING_TOWER_RENEWAL,,,,,,,,MEDIUM,| Chilled Water Systems - Cooling Towers Renewal | Medium
tdsb:3432:chemical_feed:0,tdsb_facility_condition_renewal,3432,2025_FCI,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/3432,tdsb-schno:3432,,"50 Francine Dr, North York, ON, M2H 2G6",A Y Jackson Secondary School,Toronto District School Board,chemical_feed,SUPPORTING,TDSB_RELATED_MECHANICAL_RENEWAL,,,,,,,,HIGH,| Auxiliary Equipment - Chemical Feed Systems Renewal | High
tdsb:3432:cooling_tower:1,tdsb_facility_condition_renewal,3432,2025_FCI,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/3432,tdsb-schno:3432,,"50 Francine Dr, North York, ON, M2H 2G6",A Y Jackson Secondary School,Toronto District School Board,cooling_tower,CONFIRMED,TDSB_COOLING_TOWER_RENEWAL,,,,,,,,MEDIUM,| Chilled Water Systems - Cooling Tower Renewal | Medium
tdsb:3448:chemical_feed:0,tdsb_facility_condition_renewal,3448,2025_FCI,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/3448,tdsb-schno:3448,,"755 Oakdale Rd, North York, ON, M3N 1W7",Westview Centennial Secondary School,Toronto District School Board,chemical_feed,SUPPORTING,TDSB_RELATED_MECHANICAL_RENEWAL,,,,,,,,MEDIUM,| Auxiliary Equipment - Chemical Feed Systems Renewal | Medium
tdsb:3448:cooling_tower:1,tdsb_facility_condition_renewal,3448,2025_FCI,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/3448,tdsb-schno:3448,,"755 Oakdale Rd, North York, ON, M3N 1W7",Westview Centennial Secondary School,Toronto District School Board,cooling_tower,CONFIRMED,TDSB_COOLING_TOWER_RENEWAL,,,,,,,,MEDIUM,| D303012 Chilled Water Systems - Cooling Towers Renewal | Medium
tdsb:4175:chiller:0,tdsb_facility_condition_renewal,4175,2025_FCI,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/4175,tdsb-schno:4175,,"720 Midland Ave, Scarborough, ON, M1K 4C9",Scarborough Centre for Alternative Studies,Toronto District School Board,chiller,SUPPORTING,TDSB_RELATED_MECHANICAL_RENEWAL,,,,,,,,HIGH,| Chilled Water Systems - Chiller Renewal | High
tdsb:4175:cooling_tower:1,tdsb_facility_condition_renewal,4175,2025_FCI,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/4175,tdsb-schno:4175,,"720 Midland Ave, Scarborough, ON, M1K 4C9",Scarborough Centre for Alternative Studies,Toronto District School Board,cooling_tower,CONFIRMED,TDSB_COOLING_TOWER_RENEWAL,,,,,,,,HIGH,| Chilled Water Systems - Cooling Tower Renewal | High
tdsb:5219:chemical_feed:0,tdsb_facility_condition_renewal,5219,2025_FCI,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/5219,tdsb-schno:5219,,"350 Parliament St, Toronto, ON, M5A 2Z7",Lord Dufferin Junior and Senior Public School,Toronto District School Board,chemical_feed,SUPPORTING,TDSB_RELATED_MECHANICAL_RENEWAL,,,,,,,,HIGH,| Auxiliary Equipment - Chemical Feed System Renewal | High
tdsb:5219:chiller:1,tdsb_facility_condition_renewal,5219,2025_FCI,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/5219,tdsb-schno:5219,,"350 Parliament St, Toronto, ON, M5A 2Z7",Lord Dufferin Junior and Senior Public School,Toronto District School Board,chiller,SUPPORTING,TDSB_RELATED_MECHANICAL_RENEWAL,,,,,,,,MEDIUM,| Chilled Water Systems - Centrifugal Chillers Renewal | Medium
tdsb:5219:cooling_tower:2,tdsb_facility_condition_renewal,5219,2025_FCI,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/5219,tdsb-schno:5219,,"350 Parliament St, Toronto, ON, M5A 2Z7",Lord Dufferin Junior and Senior Public School,Toronto District School Board,cooling_tower,CONFIRMED,TDSB_COOLING_TOWER_RENEWAL,,,,,,,,MEDIUM,| Chilled Water Systems - Cooling Towers Renewal | Medium
tdsb:5262:chemical_feed:0,tdsb_facility_condition_renewal,5262,2025_FCI,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/5262,tdsb-schno:5262,,"78 Seaforth Ave, Toronto, ON, M6K 3L2",Parkdale Junior and Senior Public School,Toronto District School Board,chemical_feed,SUPPORTING,TDSB_RELATED_MECHANICAL_RENEWAL,,,,,,,,HIGH,| Auxiliary Equipment - Chemical Feed Systems Renewal | High
tdsb:5262:cooling_tower:1,tdsb_facility_condition_renewal,5262,2025_FCI,https://www.tdsb.on.ca/Find-your/Schools/School-FCI/schno/5262,tdsb-schno:5262,,"78 Seaforth Ave, Toronto, ON, M6K 3L2",Parkdale Junior and Senior Public School,Toronto District School Board,cooling_tower,CONFIRMED,TDSB_COOLING_TOWER_RENEWAL,,,,,,,,HIGH,| Chilled Water Systems - Cooling Tower Renewal | High
