property_key,tower_status,address,property_name,organization,geo_id,equipment_types,commercial_signals,renewal_priorities,latest_source_event_date,source_keys,evidence_count
toronto-geoid:7204478,CONFIRMED,2301 MIDLAND AVE,,,7204478,"[""chiller"",""cooling_tower""]","[""SOURCE_ACTIVE_COOLING_TOWER_PERMIT"",""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2017-09-29,"[""toronto_building_permits_active""]",2
toronto-geoid:7762637,CONFIRMED,25 GROSVENOR ST,,,7762637,"[""chiller"",""cooling_tower""]","[""SOURCE_ACTIVE_COOLING_TOWER_PERMIT"",""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2014-12-05,"[""toronto_building_permits_active""]",2
toronto-geoid:8351164,CONFIRMED,25 THE ESPLANADE,,,8351164,"[""chiller"",""cooling_tower""]","[""SOURCE_ACTIVE_COOLING_TOWER_PERMIT"",""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2017-06-09,"[""toronto_building_permits_active""]",2
toronto-geoid:10757635,CONFIRMED,30 THE QUEENSWAY,,,10757635,"[""chiller"",""cooling_tower""]","[""SOURCE_ACTIVE_COOLING_TOWER_PERMIT"",""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2017-12-08,"[""toronto_building_permits_active""]",4
toronto-address:0fe02942cdb7892c,CONFIRMED,323 RICHMOND ST E,,,,"[""chiller"",""cooling_tower""]","[""SOURCE_ACTIVE_COOLING_TOWER_PERMIT"",""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2023-10-26,"[""toronto_building_permits_active""]",2
toronto-geoid:509769,CONFIRMED,3401 DUFFERIN ST,,,509769,"[""chiller"",""cooling_tower""]","[""SOURCE_ACTIVE_COOLING_TOWER_PERMIT"",""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2018-02-09,"[""toronto_building_permits_active""]",6
toronto-geoid:7730109,CONFIRMED,380 VICTORIA ST,,,7730109,"[""chiller"",""cooling_tower""]","[""SOURCE_ACTIVE_COOLING_TOWER_PERMIT"",""SOURCE_ACTIVE_MECHANICAL_PERMIT"",""COOLING_TOWER_PROJECT_HISTORY"",""HISTORICAL_MECHANICAL_PROJECT""]",[],2025-08-18,"[""toronto_building_permits_active"",""toronto_building_permits_cleared""]",8
toronto-geoid:12167660,CONFIRMED,4905 DUFFERIN ST,,,12167660,"[""chiller"",""cooling_tower""]","[""SOURCE_ACTIVE_COOLING_TOWER_PERMIT"",""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2018-10-29,"[""toronto_building_permits_active""]",2
toronto-address:e594fd4f2a055b06,CONFIRMED,50 OAK ST,,,,"[""chiller"",""cooling_tower""]","[""RECENT_SOURCE_ACTIVE_COOLING_TOWER_PERMIT"",""RECENT_SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2026-02-09,"[""toronto_building_permits_active""]",2
toronto-geoid:20055459,CONFIRMED,50 ROSEHILL AVE,,,20055459,"[""chiller"",""cooling_tower""]","[""RECENT_SOURCE_ACTIVE_COOLING_TOWER_PERMIT"",""RECENT_SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2025-09-11,"[""toronto_building_permits_active""]",2
toronto-geoid:8351177,CONFIRMED,55 THE ESPLANADE,,,8351177,"[""chiller"",""cooling_tower""]","[""SOURCE_ACTIVE_COOLING_TOWER_PERMIT"",""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2010-03-30,"[""toronto_building_permits_active""]",2
toronto-geoid:20362101,CONFIRMED,620 DUNDAS ST E,,,20362101,"[""chiller"",""cooling_tower""]","[""RECENT_SOURCE_ACTIVE_COOLING_TOWER_PERMIT"",""RECENT_SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2026-08-21,"[""toronto_building_permits_active""]",6
toronto-geoid:3569436,CONFIRMED,7 BISHOP AVE,,,3569436,"[""chiller"",""cooling_tower""]","[""SOURCE_ACTIVE_COOLING_TOWER_PERMIT"",""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2019-02-27,"[""toronto_building_permits_active""]",2
toronto-geoid:8155599,CONFIRMED,700 EGLINTON AVE W,,,8155599,"[""chiller"",""cooling_tower""]","[""SOURCE_ACTIVE_COOLING_TOWER_PERMIT"",""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2016-09-08,"[""toronto_building_permits_active""]",2
toronto-geoid:507981,CONFIRMED,703 DON MILLS RD,,,507981,"[""chiller"",""cooling_tower""]","[""SOURCE_ACTIVE_COOLING_TOWER_PERMIT"",""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2014-12-18,"[""toronto_building_permits_active""]",4
toronto-geoid:8127974,CONFIRMED,89 HUMBER COLLEGE BLVD,,,8127974,"[""chiller"",""cooling_tower""]","[""SOURCE_ACTIVE_COOLING_TOWER_PERMIT"",""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2012-06-13,"[""toronto_building_permits_active""]",2
toronto-geoid:4153974,CONFIRMED,10 GUILDWOOD PKWY,,,4153974,"[""chiller"",""cooling_tower""]","[""COOLING_TOWER_PROJECT_HISTORY"",""HISTORICAL_MECHANICAL_PROJECT""]",[],2017-06-01,"[""toronto_building_permits_cleared""]",2
toronto-geoid:14038411,CONFIRMED,1040 DUFFERIN ST,,,14038411,"[""chiller"",""cooling_tower""]","[""COOLING_TOWER_PROJECT_HISTORY"",""HISTORICAL_MECHANICAL_PROJECT""]",[],2024-01-05,"[""toronto_building_permits_cleared""]",2
toronto-geoid:20258361,CONFIRMED,171 FRONT ST W,,,20258361,"[""chiller"",""cooling_tower""]","[""COOLING_TOWER_PROJECT_HISTORY"",""HISTORICAL_MECHANICAL_PROJECT""]",[],2023-06-12,"[""toronto_building_permits_cleared""]",6
toronto-geoid:8206111,CONFIRMED,200 EGLINTON AVE W,,,8206111,"[""chiller"",""cooling_tower""]","[""COOLING_TOWER_PROJECT_HISTORY"",""HISTORICAL_MECHANICAL_PROJECT""]",[],2019-05-15,"[""toronto_building_permits_cleared""]",8
toronto-geoid:14601706,CONFIRMED,21 HILLCREST AVE,,,14601706,"[""chiller"",""cooling_tower""]","[""COOLING_TOWER_PROJECT_HISTORY"",""HISTORICAL_MECHANICAL_PROJECT""]",[],2018-12-06,"[""toronto_building_permits_cleared""]",2
toronto-geoid:772764,CONFIRMED,246 BLOOR ST W,,,772764,"[""chiller"",""cooling_tower""]","[""COOLING_TOWER_PROJECT_HISTORY"",""HISTORICAL_MECHANICAL_PROJECT""]",[],2018-01-26,"[""toronto_building_permits_cleared""]",6
toronto-geoid:14674985,CONFIRMED,270 MILAN ST,,,14674985,"[""chiller"",""cooling_tower""]","[""COOLING_TOWER_PROJECT_HISTORY"",""HISTORICAL_MECHANICAL_PROJECT""]",[],2024-05-13,"[""toronto_building_permits_cleared""]",2
toronto-geoid:3993557,CONFIRMED,298 JARVIS ST,,,3993557,"[""chiller"",""cooling_tower""]","[""COOLING_TOWER_PROJECT_HISTORY"",""HISTORICAL_MECHANICAL_PROJECT""]",[],2025-06-13,"[""toronto_building_permits_cleared""]",2
toronto-geoid:6868910,CONFIRMED,319 MERTON ST,,,6868910,"[""chiller"",""cooling_tower""]","[""COOLING_TOWER_PROJECT_HISTORY"",""HISTORICAL_MECHANICAL_PROJECT""]",[],2025-11-20,"[""toronto_building_permits_cleared""]",2
toronto-geoid:871468,CONFIRMED,355 ST CLAIR AVE W,,,871468,"[""chiller"",""cooling_tower""]","[""COOLING_TOWER_PROJECT_HISTORY"",""HISTORICAL_MECHANICAL_PROJECT""]",[],2024-10-24,"[""toronto_building_permits_cleared""]",6
toronto-geoid:13501524,CONFIRMED,555 FINCH AVE W,,,13501524,"[""chiller"",""cooling_tower""]","[""COOLING_TOWER_PROJECT_HISTORY"",""HISTORICAL_MECHANICAL_PROJECT""]",[],2024-02-02,"[""toronto_building_permits_cleared""]",6
toronto-geoid:14078150,CONFIRMED,61 YORKVILLE AVE,,,14078150,"[""chiller"",""cooling_tower""]","[""COOLING_TOWER_PROJECT_HISTORY"",""HISTORICAL_MECHANICAL_PROJECT""]",[],2025-05-15,"[""toronto_building_permits_cleared""]",6
toronto-geoid:568395,CONFIRMED,8 THE DONWAY E,,,568395,"[""chiller"",""cooling_tower""]","[""COOLING_TOWER_PROJECT_HISTORY"",""HISTORICAL_MECHANICAL_PROJECT""]",[],2021-07-02,"[""toronto_building_permits_cleared""]",2
toronto-geoid:6727800,CONFIRMED,888 BIRCHMOUNT RD,,,6727800,"[""chiller"",""cooling_tower""]","[""COOLING_TOWER_PROJECT_HISTORY"",""HISTORICAL_MECHANICAL_PROJECT""]",[],2025-03-14,"[""toronto_building_permits_cleared""]",4
toronto-geoid:10663925,NO_TOWER_ASSERTION,1 AUSTIN TER,,,10663925,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2016-10-19,"[""toronto_building_permits_active""]",1
toronto-geoid:6666985,NO_TOWER_ASSERTION,1 CHURCH ST,,,6666985,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT"",""HISTORICAL_MECHANICAL_PROJECT""]",[],2021-12-07,"[""toronto_building_permits_active"",""toronto_building_permits_cleared""]",2
toronto-geoid:8087262,NO_TOWER_ASSERTION,1 HARBOUR SQ,,,8087262,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2017-03-27,"[""toronto_building_permits_active""]",1
toronto-geoid:8133817,NO_TOWER_ASSERTION,1 WARRENDALE CRT,,,8133817,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2015-03-12,"[""toronto_building_permits_active""]",1
toronto-geoid:8677414,NO_TOWER_ASSERTION,10 WELLINGTON ST E,,,8677414,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT"",""HISTORICAL_MECHANICAL_PROJECT""]",[],2026-06-08,"[""toronto_building_permits_active"",""toronto_building_permits_cleared""]",2
toronto-geoid:8708498,NO_TOWER_ASSERTION,10 YONGE ST,,,8708498,"[""chiller""]","[""RECENT_SOURCE_ACTIVE_MECHANICAL_PERMIT"",""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2025-09-19,"[""toronto_building_permits_active""]",2
toronto-geoid:14188741,NO_TOWER_ASSERTION,10-20 BAY ST,,,14188741,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT"",""HISTORICAL_MECHANICAL_PROJECT""]",[],2023-04-12,"[""toronto_building_permits_active"",""toronto_building_permits_cleared""]",2
toronto-geoid:7929398,NO_TOWER_ASSERTION,100 KING ST W,,,7929398,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2010-04-26,"[""toronto_building_permits_active""]",1
